"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
62,34,89,18,29,23,57,82,55,2,69,81,81,11,77,34,28,89,54,2
12,76,14,44,51,31,67,44,73,19,26,55,86,22,80,9,6,66,12,64
16,12,53,13,59,90,12,79,85,67,18,2,49,44,34,36,36,72,98,5
16,94,71,69,17,62,8,2,38,31,71,74,78,5,32,51,65,45,9,40
27,16,19,87,90,73,66,98,89,16,100,41,66,31,52,4,99,48,95,72
29,54,6,56,50,62,92,17,3,27,95,76,52,73,51,46,98,7,2,1
80,17,50,70,34,21,69,66,70,77,44,3,78,67,59,43,75,99,99,32
46,62,65,28,96,10,20,35,17,12,90,16,70,24,98,98,4,77,84,81
47,44,63,62,91,49,99,74,19,85,59,11,81,72,79,80,38,43,25,49
59,75,48,52,31,81,52,42,10,33,35,29,22,85,65,38,43,19,58,44
